index,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,fluxQ1,fluxQ2,fluxQ3,fluxQ4
0,2.2375072940093546,4.585019430224064,2.4334534238138588,1.2537719347787366,3.140399069580438,3.2003563505453148,2.754850859775935,0.38679978881105903,2.58e+19,2.59e+19,2.67e+19,2.56e+19
0_h,1.2537719347787348,2.433453423813857,4.585019430224065,2.2375072940093563,0.38679978881105814,2.754850859775935,3.2003563505453148,3.1403990695804396,2.59e+19,2.58e+19,2.56e+19,2.67e+19
0_r,3.1427862375991484,3.0828289566342715,3.528334447403651,5.896385518368529,4.045678013170232,1.698165876955521,3.8497318833657292,5.029413372400852,2.67e+19,2.56e+19,2.58e+19,2.59e+19
0_v,5.896385518368527,3.528334447403651,3.0828289566342733,3.14278623759915,5.029413372400851,3.8497318833657275,1.698165876955522,4.045678013170232,2.56e+19,2.67e+19,2.59e+19,2.58e+19
1,4.763547061188941,2.4891410222240644,4.429368490813859,1.1471730847787356,4.224787369580438,0.7559093543657287,6.1917165069555224,2.379042688811058,2.55e+19,2.53e+19,2.51e+19,2.51e+19
100,6.167638071188941,0.06268465304447801,6.093501230993445,6.175775281958321,3.6059954895804367,3.343152120545316,1.2078955897759354,4.226816806990645,2.49e+19,2.51e+19,2.72e+19,2.61e+19
100_h,6.1757752819583205,6.093501230993444,0.06268465304447801,6.167638071188943,4.226816806990644,1.2078955897759354,3.343152120545316,3.6059954895804385,2.51e+19,2.49e+19,2.61e+19,2.72e+19
100_r,2.6771898175991486,2.9400331866342713,5.075289717403652,2.056368500188942,0.1155472359906442,6.220500654135108,0.18968407618614158,0.10741002522126664,2.72e+19,2.61e+19,2.49e+19,2.51e+19
100_v,2.056368500188942,5.075289717403651,2.940033186634272,2.6771898175991495,0.10741002522126575,0.18968407618614247,6.220500654135108,0.11554723599064509,2.61e+19,2.72e+19,2.51e+19,2.49e+19
102,5.868053761188941,4.8437052602240644,1.3374886338138587,1.7790846247787364,5.592780279580438,3.430776680545314,3.6906828297759358,3.8080525929906455,2.49e+19,2.5e+19,2.56e+19,2.64e+19
102_h,1.7790846247787346,1.3374886338138579,4.843705260224065,5.868053761188943,3.808052592990645,3.6906828297759358,3.430776680545314,5.592780279580438,2.5e+19,2.49e+19,2.64e+19,2.56e+19
102_r,0.6904050275991489,2.852408626634271,2.5925024774036523,2.475132714188943,0.4151315459906444,1.4394800469555218,4.945696673365728,4.5041006824008525,2.56e+19,2.64e+19,2.49e+19,2.5e+19
102_v,2.475132714188941,2.5925024774036505,2.852408626634272,0.6904050275991498,4.504100682400852,4.945696673365728,1.4394800469555218,0.4151315459906453,2.64e+19,2.56e+19,2.5e+19,2.49e+19
103,5.4700294711889415,5.391065650224064,3.7155148438138585,4.073201624778736,4.648618209580437,0.9694532905453137,2.357080939775935,5.371464015990646,2.56e+19,2.67e+19,2.61e+19,2.6e+19
103_h,4.073201624778735,3.7155148438138577,5.391065650224064,5.470029471188942,5.371464015990645,2.357080939775935,0.9694532905453146,4.648618209580439,2.67e+19,2.56e+19,2.6e+19,2.61e+19
103_r,1.634567097599148,5.313732016634271,3.926104367403653,0.9117212911889432,0.8131558359906457,0.8921196569555221,2.5676704633657295,2.2099836824008534,2.61e+19,2.6e+19,2.56e+19,2.67e+19
103_v,0.9117212911889414,3.926104367403651,5.3137320166342725,1.6345670975991489,2.2099836824008516,2.5676704633657295,0.8921196569555221,0.8131558359906457,2.6e+19,2.61e+19,2.67e+19,2.56e+19
104,6.017220511188942,5.574601400224065,1.2522742738138586,3.0506562947787366,3.608081939580437,4.646050730545315,2.9447708697759367,0.15600164881105982,2.47e+19,2.58e+19,2.61e+19,2.53e+19
104_h,3.050656294778735,1.2522742738138577,5.574601400224065,6.017220511188942,0.15600164881105893,2.9447708697759367,4.646050730545315,3.6080819395804387,2.58e+19,2.47e+19,2.53e+19,2.61e+19
104_r,2.6751033675991485,1.6371345766342715,3.338414437403653,6.127183658368528,0.26596479599064526,0.7085839069555213,5.0309110333657285,3.232529012400853,2.61e+19,2.53e+19,2.47e+19,2.58e+19
