{'depth': 3, 'grid': 10, 'k': 8, 'lamb': 0.0008234937574992255, 'lamb_entropy': 1.077566061053032, 'lr_1': 1, 'lr_2': 1, 'steps': 125}
{'depth': 2, 'grid': 4, 'k': 5, 'lamb': 0.0009165343632893679, 'lamb_entropy': 0.6054243776845453, 'lr_1': 1, 'lr_2': 2, 'steps': 150}
{'depth': 1, 'grid': 4, 'k': 2, 'lamb': 0.0009555906440742457, 'lamb_entropy': 0.49105932232525906, 'lr_1': 1.5, 'lr_2': 1, 'steps': 200}
{'depth': 2, 'grid': 5, 'k': 7, 'lamb': 6.318679106157366e-05, 'lamb_entropy': 4.567734177309404, 'lr_1': 0.5, 'lr_2': 0.5, 'steps': 200}
{'depth': 4, 'grid': 9, 'k': 2, 'lamb': 0.0001398460496084617, 'lamb_entropy': 0.2583380239125166, 'lr_1': 1.25, 'lr_2': 2, 'steps': 250}
{'depth': 2, 'grid': 9, 'k': 4, 'lamb': 0.00081043736970777, 'lamb_entropy': 0.8780523886905245, 'lr_1': 1, 'lr_2': 0.75, 'steps': 75}
{'depth': 4, 'grid': 6, 'k': 6, 'lamb': 0.0006086843796350584, 'lamb_entropy': 2.777033130293236, 'lr_1': 0.75, 'lr_2': 1.75, 'steps': 125}
{'depth': 4, 'grid': 10, 'k': 3, 'lamb': 0.0008986946978251213, 'lamb_entropy': 2.0310644038055163, 'lr_1': 0.75, 'lr_2': 0.5, 'steps': 200}
{'depth': 1, 'grid': 7, 'k': 4, 'lamb': 0.0005655982998003733, 'lamb_entropy': 0.1570384927051982, 'lr_1': 0.75, 'lr_2': 1.75, 'steps': 225}
{'depth': 4, 'grid': 6, 'k': 5, 'lamb': 0.0009858040799293965, 'lamb_entropy': 3.008446824852828, 'lr_1': 1.75, 'lr_2': 1, 'steps': 225}
{'depth': 2, 'grid': 7, 'k': 5, 'lamb': 4.233887757132326e-05, 'lamb_entropy': 2.9904299939073975, 'lr_1': 1.25, 'lr_2': 1.5, 'steps': 200}
