{'depth': 1, 'grid': 7, 'k': 7, 'lamb': 0.0005486106780697482, 'lamb_entropy': 1.5977691038001918, 'lr_1': 2, 'lr_2': 2, 'steps': 150}
{'depth': 4, 'grid': 6, 'k': 6, 'lamb': 0.0001745139134643331, 'lamb_entropy': 3.7786820292046897, 'lr_1': 1.75, 'lr_2': 1, 'steps': 100}
{'depth': 2, 'grid': 4, 'k': 2, 'lamb': 0.0006920283859734894, 'lamb_entropy': 1.0828567039339032, 'lr_1': 1, 'lr_2': 2, 'steps': 75}
{'depth': 2, 'grid': 7, 'k': 2, 'lamb': 0.0006378875154768875, 'lamb_entropy': 4.0358930640571495, 'lr_1': 2, 'lr_2': 0.5, 'steps': 125}
{'depth': 1, 'grid': 9, 'k': 2, 'lamb': 0.0006710188263493598, 'lamb_entropy': 3.553084834247975, 'lr_1': 1.5, 'lr_2': 1.5, 'steps': 75}
{'depth': 3, 'grid': 7, 'k': 5, 'lamb': 0.00044894535761353483, 'lamb_entropy': 1.5733525475226506, 'lr_1': 0.75, 'lr_2': 1, 'steps': 225}
{'depth': 2, 'grid': 8, 'k': 7, 'lamb': 0.0007519995060358876, 'lamb_entropy': 1.9993785618824933, 'lr_1': 0.75, 'lr_2': 2, 'steps': 150}
{'depth': 4, 'grid': 8, 'k': 5, 'lamb': 0.00019353221534542254, 'lamb_entropy': 0.40376168283969227, 'lr_1': 2, 'lr_2': 0.75, 'steps': 50}
{'depth': 4, 'grid': 4, 'k': 5, 'lamb': 0.0007703375540222931, 'lamb_entropy': 0.8547486959681938, 'lr_1': 0.75, 'lr_2': 1.75, 'steps': 100}
{'depth': 3, 'grid': 4, 'k': 8, 'lamb': 0.0009000785669509423, 'lamb_entropy': 0.9220825703917906, 'lr_1': 0.5, 'lr_2': 0.75, 'steps': 125}
{'depth': 2, 'grid': 4, 'k': 2, 'lamb': 0.00010846362931166275, 'lamb_entropy': 2.321908299575947, 'lr_1': 1.75, 'lr_2': 1, 'steps': 50}
